asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
083-250-004-000,083-250-004-000,20714 LAKESHORE DR,shasta,2025,82103,CS,HOT,0.95,"$5,827.28",$0.00,"$5,827.28",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/083250004000/2025/0000,2026-07-01T17:16:20.459649
075-200-019-000,075-200-019-000,- LEONA AVE,shasta,2025,3011,CS,HOT,0.95,"$5,807.98",$0.00,"$5,807.98",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/075200019000/2025/0000,2026-07-01T16:58:12.763211
059-450-004-000,059-450-004-000,9922 MERRYHILL LN,shasta,2025,91002,CS,HOT,0.95,"$5,754.72",$0.00,"$5,754.72",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/059450004000/2025/0000,2026-07-01T16:24:43.192851
031-200-004-000,031-200-004-000,41405 HAT CREEK LN,shasta,2025,77009,CS,HOT,0.95,"$5,632.00",$0.00,"$5,632.00",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/031200004000/2025/0000,2026-07-01T07:29:36.798124
103-050-047-000,103-050-047-000,1975 TENTH ST,shasta,2025,1000,CS,HOT,0.95,"$5,609.52",$0.00,"$5,609.52",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/103050047000/2025/0000,2026-07-01T17:52:36.916002
061-350-004-000,061-350-004-000,22427 BUCKBOARD TRL,shasta,2025,110002,CS,HOT,0.95,"$5,573.80",$0.00,"$5,573.80",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/061350004000/2025/0000,2026-07-01T16:29:41.687553
094-150-038-000,094-150-038-000,7425 MIDWAY PINES DR,shasta,2025,57000,CS,HOT,0.95,"$5,564.68",$0.00,"$5,564.68",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/094150038000/2025/0000,2026-07-01T17:33:46.646391
091-350-010-000,091-350-010-000,5309 BALLS FERRY RD,shasta,2025,52009,CS,HOT,0.95,"$5,545.70",$0.00,"$5,545.70",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/091350010000/2025/0000,2026-07-01T17:30:30.519466
110-350-047-000,110-350-047-000,2306 SUZETTE AVE,shasta,2025,1059,CS,HOT,0.95,"$5,543.40",$0.00,"$5,543.40",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/110350047000/2025/0000,2026-07-01T18:29:32.107153
073-200-007-000,073-200-007-000,1855 GOLD HILLS DR,shasta,2025,1188,CS,HOT,0.95,"$5,473.68",$0.00,"$5,473.68",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/073200007000/2025/0000,2026-07-01T16:53:33.835971
103-700-009-000,103-700-009-000,720 PIONEER CT,shasta,2025,1000,CS,HOT,0.95,"$5,444.62",$0.00,"$5,444.62",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/103700009000/2025/0000,2026-07-01T17:55:53.745255
097-100-030-000,097-100-030-000,14367 SEAMAN GULCH RD,shasta,2025,56003,CS,HOT,0.95,"$5,400.64",$0.00,"$5,400.64",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/097100030000/2025/0000,2026-07-01T17:39:47.392703
086-450-033-000,086-450-033-000,20264 MORGAN HILL CT,shasta,2025,2012,CS,HOT,0.95,"$5,344.84",$0.00,"$5,344.84",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/086450033000/2025/0000,2026-07-01T17:22:15.011408
094-600-027-000,094-600-027-000,28093 HWY 44,shasta,2025,57000,CS,HOT,0.95,"$5,330.44",$0.00,"$5,330.44",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/094600027000/2025/0000,2026-07-01T17:36:05.335353
075-500-022-000,075-500-022-000,4335 KENSINGTON DR,shasta,2025,3011,CS,HOT,0.95,"$5,315.08",$0.00,"$5,315.08",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/075500022000/2025/0000,2026-07-01T17:00:30.354749
059-300-030-000,059-300-030-000,9728 DESCHUTES RD,shasta,2025,91002,CS,HOT,0.95,"$5,253.88",$0.00,"$5,253.88",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/059300030000/2025/0000,2026-07-01T16:23:46.925594
061-500-004-000,061-500-004-000,22198 LANCELOT LN,shasta,2025,110002,CS,HOT,0.95,"$5,253.40",$0.00,"$5,253.40",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/061500004000/2025/0000,2026-07-01T16:30:46.473324
059-300-043-000,059-300-043-000,9626 DESCHUTES RD,shasta,2025,91002,CS,HOT,0.95,"$5,164.68",$0.00,"$5,164.68",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/059300043000/2025/0000,2026-07-01T16:23:53.807735
800-002-513-000,101-150-067-000,1801 EUREKA WAY,shasta,2025,1249,CU,HOT,0.95,"$5,082.77",$0.00,"$5,082.77",LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800002513000/2025/0000,2026-07-01T17:45:03.571541
105-450-005-000,105-450-005-000,1538 WEST ST,shasta,2025,1000,CS,HOT,0.95,"$5,039.36",$0.00,"$5,039.36",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/105450005000/2025/0000,2026-07-01T18:08:17.688478
115-300-008-000,115-300-008-000,11574 QUARTZ HILL RD,shasta,2025,82096,CS,HOT,0.95,"$9,493.80","$4,504.67","$4,989.13",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/115300008000/2025/0000,2026-07-01T18:50:07.295302
110-350-034-000,110-350-034-000,2361 PETROGLYPH ST,shasta,2025,1059,CS,HOT,0.95,"$4,944.48",$0.00,"$4,944.48",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/110350034000/2025/0000,2026-07-01T18:29:17.719184
035-500-008-000,035-500-008-000,42463 LEAPING TROUT WAY,shasta,2025,77009,CS,HOT,0.95,"$4,921.62",$0.00,"$4,921.62",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/035500008000/2025/0000,2026-07-01T07:33:09.120519
102-150-011-000,102-150-011-000,1835 PARK MARINA DR,shasta,2025,1000,CS,HOT,0.95,"$9,318.58","$4,421.23","$4,897.35",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/102150011000/2025/0000,2026-07-01T17:48:00.714199
109-150-038-001,109-150-038-000,2960 HARTNELL AVE,shasta,2025,1002,CS,HOT,0.95,"$4,859.86",$0.00,"$4,859.86",Delinquent,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/109150038001/2025/0000,2026-07-01T18:21:50.385427
064-150-086-000,064-150-086-000,,shasta,2025,3008,CS,HOT,0.95,"$4,845.76",$0.00,"$4,845.76",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/064150086000/2025/0000,2026-07-01T16:32:01.055854
116-500-005-000,116-500-005-000,1798 STETSON WAY,shasta,2025,1176,CS,HOT,0.95,"$4,819.18",$0.00,"$4,819.18",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/116500005000/2025/0000,2026-07-01T18:55:46.440625
096-250-014-000,096-250-014-000,7902 AIRPORT WAY,shasta,2025,57014,CS,HOT,0.95,"$1,995.78",$0.00,"$1,995.78",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/096250014000/2025/0000,2026-07-01T17:38:54.799117
990-183-004-000,091-350-005-000,5295 BALLS FERRY RD,shasta,2025,52009,SS,HOT,0.95,"$1,995.35",$0.00,"$1,995.35",LATE,DUE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183004000/2025/0000,2026-07-01T17:30:28.095904
990-185-078-000,114-050-021-000,1113 ONA LN,shasta,2025,1007,SS,HOT,0.95,"$1,971.71",$0.00,"$1,971.71",LATE,DUE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990185078000/2025/0000,2026-07-01T18:44:56.508475
049-300-039-000,049-300-039-000,2014 SYCAMORE DR,shasta,2025,1143,CS,HOT,0.95,"$1,970.46",$0.00,"$1,970.46",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/049300039000/2025/0000,2026-07-01T07:46:41.557131
023-450-024-000,023-450-024-000,26703 ALPINE WAY,shasta,2025,77004,CS,HOT,0.95,"$1,967.42",$0.00,"$1,967.42",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/023450024000/2025/0000,2026-07-01T07:17:55.277844
041-550-037-001,041-550-037-000,7683 PLACER RD,shasta,2025,83001,CS,HOT,0.95,"$1,966.71",$0.00,"$1,966.71",Delinquent,DUE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/041550037001/2025/0000,2026-07-01T07:35:31.332117
990-183-598-000,005-600-040-000,4345 WILLIAMETTE ST,shasta,2025,3026,SS,HOT,0.95,"$1,951.63",$0.00,"$1,951.63",LATE,DUE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183598000/2025/0000,2026-07-01T06:52:15.856563
