asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at
019-100-003-000,19100003000,,2025,0,82025,CS,019-100-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019100003000/2025/0000,shasta,2026-07-01T05:04:56.126390
019-100-004-000,19100004000,,2025,0,82025,CS,019-100-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019100004000/2025/0000,shasta,2026-07-01T05:04:56.126390
019-100-005-000,19100005000,,2025,0,82025,CS,019-100-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019100005000/2025/0000,shasta,2026-07-01T05:04:56.126390
019-150-001-000,19150001000,,2025,0,82025,CS,019-150-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019150001000/2025/0000,shasta,2026-07-01T05:04:56.926317
019-150-002-000,19150002000,,2025,0,82025,CS,019-150-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019150002000/2025/0000,shasta,2026-07-01T05:04:56.926317
019-200-001-000,19200001000,,2025,0,82027,CS,019-200-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019200001000/2025/0000,shasta,2026-07-01T05:04:57.726375
019-200-002-000,19200002000,,2025,0,82025,CS,019-200-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019200002000/2025/0000,shasta,2026-07-01T05:04:57.726375
019-250-001-800,19250001800,,2025,0,82104,CS,019-250-001-800,https://common2.mptsweb.com/MBC/shasta/tax/main/019250001800/2025/0000,shasta,2026-07-01T05:04:58.553587
019-250-001-810,19250001810,,2025,0,82104,CS,019-250-001-810,https://common2.mptsweb.com/MBC/shasta/tax/main/019250001810/2025/0000,shasta,2026-07-01T05:04:58.553587
019-250-002-000,19250002000,,2025,0,82103,CS,019-250-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019250002000/2025/0000,shasta,2026-07-01T05:04:58.553587
019-250-003-800,19250003800,,2025,0,82104,CS,019-250-003-800,https://common2.mptsweb.com/MBC/shasta/tax/main/019250003800/2025/0000,shasta,2026-07-01T05:04:58.553587
019-250-003-810,19250003810,,2025,0,82104,CS,019-250-003-810,https://common2.mptsweb.com/MBC/shasta/tax/main/019250003810/2025/0000,shasta,2026-07-01T05:04:58.553587
019-250-004-800,19250004800,,2025,0,82104,CS,019-250-004-800,https://common2.mptsweb.com/MBC/shasta/tax/main/019250004800/2025/0000,shasta,2026-07-01T05:04:58.553587
019-250-004-810,19250004810,,2025,0,82104,CS,019-250-004-810,https://common2.mptsweb.com/MBC/shasta/tax/main/019250004810/2025/0000,shasta,2026-07-01T05:04:58.553587
019-300-001-000,19300001000,,2025,0,82103,CS,019-300-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019300001000/2025/0000,shasta,2026-07-01T05:04:59.362228
019-300-004-000,19300004000,,2025,0,82103,CS,019-300-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019300004000/2025/0000,shasta,2026-07-01T05:04:59.362228
019-300-007-000,19300007000,,2025,0,82103,CS,019-300-007-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019300007000/2025/0000,shasta,2026-07-01T05:04:59.362228
019-300-008-000,19300008000,,2025,0,82103,CS,019-300-008-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019300008000/2025/0000,shasta,2026-07-01T05:04:59.362228
860-001-726-000,860001726000,,2025,0,82103,CU,019-300-008-000,https://common2.mptsweb.com/MBC/shasta/tax/main/860001726000/2025/0000,shasta,2026-07-01T05:04:59.362228
019-300-009-000,19300009000,,2025,0,82103,CS,019-300-009-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019300009000/2025/0000,shasta,2026-07-01T05:04:59.362228
019-300-013-000,19300013000,,2025,0,82103,CS,019-300-013-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019300013000/2025/0000,shasta,2026-07-01T05:04:59.362228
019-300-014-000,19300014000,- FENDERS FERRY RD,2025,0,82103,CS,019-300-014-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019300014000/2025/0000,shasta,2026-07-01T05:04:59.362228
019-350-002-000,19350002000,,2025,0,82025,CS,019-350-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350002000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-003-000,19350003000,,2025,0,82025,CS,019-350-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350003000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-005-000,19350005000,,2025,0,82025,CS,019-350-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350005000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-006-000,19350006000,,2025,0,82025,CS,019-350-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350006000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-007-000,19350007000,,2025,0,82103,CS,019-350-007-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350007000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-009-000,19350009000,,2025,0,82103,CS,019-350-009-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350009000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-025-000,19350025000,24235 EAGLES ROOST RD,2025,0,82103,CS,019-350-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350025000/2025/0000,shasta,2026-07-01T05:05:00.160778
990-179-302-000,990179302000,24235 EAGLES ROOST RD,2025,0,82103,SS,019-350-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990179302000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-026-000,19350026000,,2025,0,82103,CS,019-350-026-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350026000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-027-000,19350027000,,2025,0,82103,CS,019-350-027-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350027000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-028-000,19350028000,,2025,0,82103,CS,019-350-028-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350028000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-031-000,19350031000,24165 EAGLES ROOST RD,2025,0,82103,CS,019-350-031-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350031000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-035-000,19350035000,24159 EAGLES ROOST RD,2025,0,82103,CS,019-350-035-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350035000/2025/0000,shasta,2026-07-01T05:05:00.160778
990-179-303-000,990179303000,24159 EAGLES ROOST RD,2025,0,82103,SS,019-350-035-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990179303000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-036-000,19350036000,24151 EAGLES ROOST RD,2025,0,82103,CS,019-350-036-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350036000/2025/0000,shasta,2026-07-01T05:05:00.160778
800-010-539-000,800010539000,24151 EAGLES ROOST RD,2025,0,82103,CU,019-350-036-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800010539000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-042-000,19350042000,,2025,0,82025,CS,019-350-042-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350042000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-043-000,19350043000,,2025,0,82025,CS,019-350-043-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350043000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-045-000,19350045000,,2025,0,82025,CS,019-350-045-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350045000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-047-000,19350047000,,2025,0,82025,CS,019-350-047-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350047000/2025/0000,shasta,2026-07-01T05:05:00.160778
019-350-048-000,19350048000,,2025,0,82025,CS,019-350-048-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350048000/2025/0000,shasta,2026-07-01T05:05:00.161818
019-350-049-000,19350049000,,2025,0,82025,CS,019-350-049-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019350049000/2025/0000,shasta,2026-07-01T05:05:00.161818
019-400-001-000,19400001000,,2025,0,82103,CS,019-400-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400001000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-003-000,19400003000,17117 DOG CREEK RD,2025,0,82103,CS,019-400-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400003000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-010-000,19400010000,,2025,0,82103,CS,019-400-010-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400010000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-029-000,19400029000,- SAYLOR RD,2025,0,82103,CS,019-400-029-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400029000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-043-000,19400043000,,2025,0,82103,CS,019-400-043-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400043000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-044-000,19400044000,,2025,0,82103,CS,019-400-044-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400044000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-045-000,19400045000,,2025,0,82103,CS,019-400-045-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400045000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-046-000,19400046000,,2025,0,82103,CS,019-400-046-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400046000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-048-000,19400048000,,2025,0,82103,CS,019-400-048-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400048000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-049-000,19400049000,16818 DOG CREEK RD,2025,0,82103,CS,019-400-049-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400049000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-051-000,19400051000,16811 DOG CREEK RD,2025,0,82103,CS,019-400-051-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400051000/2025/0000,shasta,2026-07-01T05:05:00.964555
910-804-748-000,910804748000,16811 DOG CREEK RD,2025,0,82025,DU,019-400-051-000,https://common2.mptsweb.com/MBC/shasta/tax/main/910804748000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-052-000,19400052000,16833 DOG CREEK RD,2025,0,82103,CS,019-400-052-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400052000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-053-000,19400053000,,2025,0,82103,CS,019-400-053-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400053000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-054-000,19400054000,16856 DOG CREEK RD,2025,0,82103,CS,019-400-054-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400054000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-055-000,19400055000,,2025,0,82103,CS,019-400-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400055000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-060-000,19400060000,- FENDERS FERRY RD,2025,0,82103,CS,019-400-060-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400060000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-061-000,19400061000,- FENDERS FERRY RD,2025,0,82103,CS,019-400-061-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400061000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-062-000,19400062000,16600 DOG CREEK RD,2025,0,82103,CS,019-400-062-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400062000/2025/0000,shasta,2026-07-01T05:05:00.964555
990-183-005-000,990183005000,16600 DOG CREEK RD,2025,0,82103,SS,019-400-062-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990183005000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-400-063-000,19400063000,22288 SAYLOR RD,2025,0,82103,CS,019-400-063-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400063000/2025/0000,shasta,2026-07-01T05:05:00.964555
019-450-001-000,19450001000,16712 DOG CREEK RD,2025,0,82103,CS,019-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450001000/2025/0000,shasta,2026-07-01T05:05:01.844524
830-010-455-000,830010455000,16712 DOG CREEK RD,2025,0,82103,CU,019-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830010455000/2025/0000,shasta,2026-07-01T05:05:01.844524
830-021-765-000,830021765000,16712 DOG CREEK RD,2025,0,82103,CU,019-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830021765000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-004-000,19450004000,16772 DOG CREEK RD,2025,0,82103,CS,019-450-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450004000/2025/0000,shasta,2026-07-01T05:05:01.844524
910-803-919-000,910803919000,16772 DOG CREEK RD,2025,0,82103,CS,019-450-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/910803919000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-005-000,19450005000,16788 DOG CREEK RD,2025,0,82103,CS,019-450-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450005000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-008-000,19450008000,,2025,0,82103,CS,019-450-008-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450008000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-011-000,19450011000,16658 DOG CREEK RD,2025,0,82103,CS,019-450-011-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450011000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-013-000,19450013000,22208 SAYLOR RD,2025,0,82103,CS,019-450-013-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450013000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-015-000,19450015000,16779 DOG CREEK RD,2025,0,82103,CS,019-450-015-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450015000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-019-000,19450019000,16758 DOG CREEK RD,2025,0,82103,CS,019-450-019-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450019000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-025-000,19450025000,22217 SAYLOR RD,2025,0,82103,CS,019-450-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450025000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-026-000,19450026000,16749 DOG CREEK RD,2025,0,82103,CS,019-450-026-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450026000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-028-000,19450028000,16705 DOG CREEK RD,2025,0,82103,CS,019-450-028-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450028000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-030-000,19450030000,,2025,0,82103,CS,019-450-030-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450030000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-031-000,19450031000,16713 DOG CREEK RD,2025,0,82103,CS,019-450-031-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450031000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-032-000,19450032000,16734 DOG CREEK RD,2025,0,82103,CS,019-450-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450032000/2025/0000,shasta,2026-07-01T05:05:01.844524
830-014-859-000,830014859000,16734 DOG CREEK RD,2025,0,82103,CU,019-450-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830014859000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-033-000,19450033000,16726 DOG CREEK RD,2025,0,82103,CS,019-450-033-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450033000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-035-000,19450035000,22233 SAYLOR RD,2025,0,82103,CS,019-450-035-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450035000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-037-000,19450037000,,2025,0,82103,CS,019-450-037-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450037000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-039-000,19450039000,22217 SAYLOR RD,2025,0,82103,CS,019-450-039-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450039000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-450-040-000,19450040000,16688 DOG CREEK RD,2025,0,82103,CS,019-450-040-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450040000/2025/0000,shasta,2026-07-01T05:05:01.844524
019-500-001-000,19500001000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500001000/2025/0000,shasta,2026-07-01T05:05:02.668353
019-500-002-000,19500002000,,2025,0,82103,CS,019-500-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500002000/2025/0000,shasta,2026-07-01T05:05:02.668353
019-500-003-000,19500003000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500003000/2025/0000,shasta,2026-07-01T05:05:02.668353
019-500-004-000,19500004000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500004000/2025/0000,shasta,2026-07-01T05:05:02.668353
990-181-435-000,990181435000,- DELTA SCHOOL RD,2025,0,82103,SS,019-500-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990181435000/2025/0000,shasta,2026-07-01T05:05:02.668353
991-181-435-000,991181435000,- DELTA SCHOOL RD,2025,0,82103,SS,019-500-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/991181435000/2025/0000,shasta,2026-07-01T05:05:02.668353
019-500-005-000,19500005000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500005000/2025/0000,shasta,2026-07-01T05:05:02.668353
020-050-001-000,20050001000,,2025,0,82025,CS,020-050-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020050001000/2025/0000,shasta,2026-07-01T05:05:12.038914
020-050-002-000,20050002000,,2025,0,82025,CS,020-050-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020050002000/2025/0000,shasta,2026-07-01T05:05:12.038914
020-100-001-000,20100001000,,2025,0,82025,CS,020-100-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100001000/2025/0000,shasta,2026-07-01T05:05:12.922168
020-100-003-000,20100003000,,2025,0,82025,CS,020-100-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100003000/2025/0000,shasta,2026-07-01T05:05:12.922168
020-100-005-000,20100005000,,2025,0,82025,CS,020-100-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100005000/2025/0000,shasta,2026-07-01T05:05:12.922168
020-100-006-000,20100006000,,2025,0,82025,CS,020-100-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100006000/2025/0000,shasta,2026-07-01T05:05:12.922168
020-150-001-000,20150001000,,2025,0,82025,CS,020-150-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150001000/2025/0000,shasta,2026-07-01T05:05:13.773383
020-150-003-000,20150003000,,2025,0,82027,CS,020-150-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150003000/2025/0000,shasta,2026-07-01T05:05:13.773383
020-150-004-000,20150004000,,2025,0,82025,CS,020-150-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150004000/2025/0000,shasta,2026-07-01T05:05:13.773383
020-150-005-000,20150005000,- FENDERS FERRY RD,2025,0,82025,CS,020-150-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150005000/2025/0000,shasta,2026-07-01T05:05:13.773383
020-150-006-000,20150006000,,2025,0,82025,CS,020-150-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150006000/2025/0000,shasta,2026-07-01T05:05:13.773383
020-200-001-000,20200001000,,2025,0,82025,CS,020-200-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200001000/2025/0000,shasta,2026-07-01T05:05:14.615746
020-200-002-000,20200002000,,2025,0,82025,CS,020-200-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200002000/2025/0000,shasta,2026-07-01T05:05:14.615746
020-200-003-000,20200003000,22475 GILMAN RD,2025,0,82025,CS,020-200-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200003000/2025/0000,shasta,2026-07-01T05:05:14.615746
020-200-004-000,20200004000,,2025,0,82025,CS,020-200-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200004000/2025/0000,shasta,2026-07-01T05:05:14.615746
020-250-001-000,20250001000,,2025,0,82025,CS,020-250-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020250001000/2025/0000,shasta,2026-07-01T05:05:15.490229
020-250-002-000,20250002000,,2025,0,82025,CS,020-250-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020250002000/2025/0000,shasta,2026-07-01T05:05:15.490229
020-300-001-000,20300001000,,2025,0,82025,CS,020-300-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020300001000/2025/0000,shasta,2026-07-01T05:05:16.324387
020-300-002-000,20300002000,,2025,0,82025,CS,020-300-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020300002000/2025/0000,shasta,2026-07-01T05:05:16.324387
020-350-001-000,20350001000,,2025,0,82025,CS,020-350-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020350001000/2025/0000,shasta,2026-07-01T05:05:17.159357
020-350-002-000,20350002000,,2025,0,82025,CS,020-350-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020350002000/2025/0000,shasta,2026-07-01T05:05:17.159357
020-400-001-000,20400001000,,2025,0,61002,CS,020-400-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020400001000/2025/0000,shasta,2026-07-01T05:05:17.981658
020-400-002-000,20400002000,,2025,0,61000,CS,020-400-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020400002000/2025/0000,shasta,2026-07-01T05:05:17.981658
020-450-001-000,20450001000,,2025,0,61000,CS,020-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020450001000/2025/0000,shasta,2026-07-01T05:05:18.807757
020-450-002-000,20450002000,,2025,0,61002,CS,020-450-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020450002000/2025/0000,shasta,2026-07-01T05:05:18.807757
020-500-001-000,20500001000,,2025,0,82025,CS,020-500-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020500001000/2025/0000,shasta,2026-07-01T05:05:19.680360
020-500-006-000,20500006000,,2025,0,82025,CS,020-500-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020500006000/2025/0000,shasta,2026-07-01T05:05:19.680360
021-050-001-000,21050001000,,2025,0,82025,CS,021-050-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021050001000/2025/0000,shasta,2026-07-01T05:05:29.048301
021-050-003-000,21050003000,,2025,0,82025,CS,021-050-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021050003000/2025/0000,shasta,2026-07-01T05:05:29.048301
021-050-004-000,21050004000,,2025,0,82025,CS,021-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021050004000/2025/0000,shasta,2026-07-01T05:05:29.048301
021-050-005-000,21050005000,,2025,0,82025,CS,021-050-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021050005000/2025/0000,shasta,2026-07-01T05:05:29.048301
021-050-006-000,21050006000,,2025,0,82025,CS,021-050-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021050006000/2025/0000,shasta,2026-07-01T05:05:29.048301
021-050-007-000,21050007000,,2025,0,82025,CS,021-050-007-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021050007000/2025/0000,shasta,2026-07-01T05:05:29.048301
021-100-002-000,21100002000,,2025,0,87001,CS,021-100-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100002000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-003-000,21100003000,,2025,0,87000,CS,021-100-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100003000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-004-000,21100004000,26500 KOSK CREEK RD,2025,0,87001,CS,021-100-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100004000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-005-000,21100005000,,2025,0,87001,CS,021-100-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100005000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-006-000,21100006000,,2025,0,87001,CS,021-100-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100006000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-008-000,21100008000,,2025,0,87001,CS,021-100-008-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100008000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-009-000,21100009000,,2025,0,87000,CS,021-100-009-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100009000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-010-000,21100010000,26470 KOSK CREEK RD,2025,0,87001,CS,021-100-010-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100010000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-012-000,21100012000,,2025,0,87001,CS,021-100-012-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100012000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-015-000,21100015000,,2025,0,87001,CS,021-100-015-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100015000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-016-000,21100016000,,2025,0,87000,CS,021-100-016-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100016000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-017-000,21100017000,,2025,0,87000,CS,021-100-017-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100017000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-019-000,21100019000,,2025,0,87001,CS,021-100-019-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100019000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-020-000,21100020000,,2025,0,87001,CS,021-100-020-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100020000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-021-000,21100021000,,2025,0,87001,CS,021-100-021-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100021000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-022-000,21100022000,,2025,0,87001,CS,021-100-022-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100022000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-023-000,21100023000,,2025,0,87001,CS,021-100-023-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100023000/2025/0000,shasta,2026-07-01T05:05:29.902928
021-100-025-000,21100025000,30240 BAKER CREEK RD,2025,0,87001,CS,021-100-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/021100025000/2025/0000,shasta,2026-07-01T05:05:29.902928
910-804-903-000,910804903000,30240 BAKER CREEK RD,2025,0,87001,CS,021-100-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/910804903000/2025/0000,shasta,2026-07-01T05:05:29.902928
