asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at
830-021-298-000,830021298000,1804 HARDENBROOK AVE,2025,0,3026,DU,005-050-031-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830021298000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-032-000,5050032000,4336 FORT PECK ST,2025,0,3026,CS,005-050-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050032000/2025/0000,shasta,2026-07-01T05:02:41.090459
800-012-777-000,800012777000,4336 SHASTA DAM BLVD,2025,0,3026,CU,005-050-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800012777000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-033-000,5050033000,4332 FORT PECK ST,2025,0,3026,CS,005-050-033-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050033000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-034-000,5050034000,4328 FORT PECK ST,2025,0,3026,CS,005-050-034-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050034000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-035-000,5050035000,4316 FORT PECK ST,2025,0,3026,CS,005-050-035-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050035000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-040-000,5050040000,4317 LA MESA AVE,2025,0,3026,CS,005-050-040-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050040000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-041-000,5050041000,4325 LA MESA AVE,2025,0,3026,CS,005-050-041-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050041000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-042-000,5050042000,4333 LA MESA AVE,2025,0,3026,CS,005-050-042-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050042000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-043-000,5050043000,4337 LA MESA AVE,2025,0,3026,CS,005-050-043-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050043000/2025/0000,shasta,2026-07-01T05:02:41.090459
