asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at,verified_url,verified_at,v_inst1_status,v_inst1_total_due,v_inst1_paid,v_inst1_balance,v_inst2_status,v_inst2_total_due,v_inst2_paid,v_inst2_balance,v_total_due,v_total_paid,v_total_balance,v_delinquent,v_fetch_error,verified_score,confidence
005-050-015-000,5050015000,4321 MEADE ST,2025,0,3026,CS,005-050-015-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050015000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050015000/2025/0000,2026-07-01T06:48:25.105498,PAID,$952.96,$952.96,$0.00,PAID,$952.96,$952.96,$0.00,"$1,905.92","$1,905.92",$0.00,False,,COLD,0.92
005-050-016-000,5050016000,4337 MEADE ST,2025,0,3026,CS,005-050-016-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050016000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050016000/2025/0000,2026-07-01T06:48:25.754122,PAID,"$1,064.39","$1,064.39",$0.00,PAID,"$1,064.39","$1,064.39",$0.00,"$2,128.78","$2,128.78",$0.00,False,,COLD,0.92
005-050-017-000,5050017000,4333 MEADE ST,2025,0,3026,CS,005-050-017-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050017000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050017000/2025/0000,2026-07-01T06:48:26.459910,PAID,$217.79,$217.79,$0.00,PAID,$273.56,$273.56,$0.00,$491.35,$491.35,$0.00,False,,COLD,0.92
005-050-018-000,5050018000,4344 MEADE ST,2025,0,3026,CS,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050018000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050018000/2025/0000,2026-07-01T06:48:27.142884,PAID,"$1,066.58","$1,066.58",$0.00,PAID,"$1,066.58","$1,066.58",$0.00,"$2,133.16","$2,133.16",$0.00,False,,COLD,0.92
990-182-470-000,990182470000,4344 MEADE ST,2025,0,3026,SU,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470000/2025/0000,2026-07-01T06:48:27.816948,Delinquent,($155.15),($155.15),$0.00,Delinquent,$0.00,$0.00,$0.00,($155.15),($155.15),$0.00,True,,HOT,0.85
990-182-470-001,990182470001,4344 MEADE ST,2025,0,3026,SS,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470001/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470001/2025/0000,2026-07-01T06:48:28.478934,Delinquent,$0.00,$0.00,$0.00,Delinquent,($346.05),($346.05),$0.00,($346.05),($346.05),$0.00,True,,HOT,0.85
990-184-721-000,990184721000,4344 MEADE ST,2025,0,3026,SS,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990184721000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/990184721000/2025/0000,2026-07-01T06:48:29.176841,DUE,$534.77,$0.00,$534.77,DUE,$534.77,$0.00,$534.77,"$1,069.54",$0.00,"$1,069.54",False,,WARM,0.8
005-050-019-000,5050019000,4336 MEADE ST,2025,0,3026,CS,005-050-019-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050019000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050019000/2025/0000,2026-07-01T06:48:29.839222,PAID,"$1,499.47","$1,499.47",$0.00,PAID,"$1,499.47","$1,499.47",$0.00,"$2,998.94","$2,998.94",$0.00,False,,COLD,0.92
005-050-020-000,5050020000,4332 MEADE ST,2025,0,3026,CS,005-050-020-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050020000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050020000/2025/0000,2026-07-01T06:48:30.526712,PAID,"$1,627.98","$1,627.98",$0.00,PAID,"$1,627.98","$1,627.98",$0.00,"$3,255.96","$3,255.96",$0.00,False,,COLD,0.92
005-050-021-000,5050021000,4324 MEADE ST,2025,0,3026,CS,005-050-021-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050021000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050021000/2025/0000,2026-07-01T06:48:31.210940,PAID,$191.42,$191.42,$0.00,PAID,$174.02,$174.02,$0.00,$365.44,$365.44,$0.00,False,,COLD,0.92
005-050-022-000,5050022000,4316 MEADE ST,2025,0,3026,CS,005-050-022-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050022000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050022000/2025/0000,2026-07-01T06:48:31.879922,PAID,$566.47,$566.47,$0.00,PAID,$566.47,$566.47,$0.00,"$1,132.94","$1,132.94",$0.00,False,,COLD,0.92
005-050-023-000,5050023000,4312 MEADE ST,2025,0,3026,CS,005-050-023-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050023000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050023000/2025/0000,2026-07-01T06:48:32.524025,PAID,$434.34,$434.34,$0.00,PAID,$434.34,$434.34,$0.00,$868.68,$868.68,$0.00,False,,COLD,0.92
005-050-025-000,5050025000,1743 LOCUST AVE,2025,0,3026,CS,005-050-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050025000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050025000/2025/0000,2026-07-01T06:48:33.200761,PAID,$573.35,$573.35,$0.00,PAID,$573.35,$573.35,$0.00,"$1,146.70","$1,146.70",$0.00,False,,COLD,0.92
005-050-026-000,5050026000,4317 FORT PECK ST,2025,0,3026,CS,005-050-026-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050026000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050026000/2025/0000,2026-07-01T06:48:33.848637,PAID,$533.90,$533.90,$0.00,PAID,$533.90,$533.90,$0.00,"$1,067.80","$1,067.80",$0.00,False,,COLD,0.92
005-050-027-000,5050027000,4321 FORT PECK ST,2025,0,3026,CS,005-050-027-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050027000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050027000/2025/0000,2026-07-01T06:48:34.542100,PAID,$591.46,$591.46,$0.00,PAID,$591.46,$591.46,$0.00,"$1,182.92","$1,182.92",$0.00,False,,COLD,0.92
005-050-028-000,5050028000,4325 FORT PECK ST,2025,0,3026,CS,005-050-028-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050028000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050028000/2025/0000,2026-07-01T06:48:35.269661,PAID,$500.57,$500.57,$0.00,PAID,$500.57,$500.57,$0.00,"$1,001.14","$1,001.14",$0.00,False,,COLD,0.92
005-050-029-000,5050029000,4329 FORT PECK ST,2025,0,3026,CS,005-050-029-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050029000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050029000/2025/0000,2026-07-01T06:48:35.917572,PAID,$453.82,$453.82,$0.00,PAID,$453.82,$453.82,$0.00,$907.64,$907.64,$0.00,False,,COLD,0.92
005-050-031-000,5050031000,1804 HARDENBROOK AVE,2025,0,3026,CS,005-050-031-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050031000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050031000/2025/0000,2026-07-01T06:48:36.599971,PAID,"$1,614.53","$1,614.53",$0.00,PAID,"$1,614.53","$1,614.53",$0.00,"$3,229.06","$3,229.06",$0.00,False,,COLD,0.92
830-021-298-000,830021298000,1804 HARDENBROOK AVE,2025,0,3026,DU,005-050-031-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830021298000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/830021298000/2025/0000,2026-07-01T06:48:37.257897,,,,,,,,,,,,False,,COLD,0.92
005-050-032-000,5050032000,4336 FORT PECK ST,2025,0,3026,CS,005-050-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050032000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050032000/2025/0000,2026-07-01T06:48:37.847395,PAID,$416.35,$416.35,$0.00,PAID,$416.35,$416.35,$0.00,$832.70,$832.70,$0.00,False,,COLD,0.92
800-012-777-000,800012777000,4336 SHASTA DAM BLVD,2025,0,3026,CU,005-050-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800012777000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/800012777000/2025/0000,2026-07-01T06:48:38.550729,PAID,$101.38,$101.38,$0.00,Delinquent,$0.00,$0.00,$0.00,$101.38,$101.38,$0.00,True,,HOT,0.85
005-050-033-000,5050033000,4332 FORT PECK ST,2025,0,3026,CS,005-050-033-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050033000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050033000/2025/0000,2026-07-01T06:48:39.207366,PAID,$324.21,$324.21,$0.00,PAID,$324.21,$324.21,$0.00,$648.42,$648.42,$0.00,False,,COLD,0.92
005-050-034-000,5050034000,4328 FORT PECK ST,2025,0,3026,CS,005-050-034-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050034000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050034000/2025/0000,2026-07-01T06:48:39.891453,PAID,$502.19,$502.19,$0.00,PAID,$502.19,$502.19,$0.00,"$1,004.38","$1,004.38",$0.00,False,,COLD,0.92
005-050-035-000,5050035000,4316 FORT PECK ST,2025,0,3026,CS,005-050-035-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050035000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050035000/2025/0000,2026-07-01T06:48:40.545146,PAID,"$2,230.35","$2,230.35",$0.00,PAID,"$2,230.35","$2,230.35",$0.00,"$4,460.70","$4,460.70",$0.00,False,,COLD,0.92
005-050-040-000,5050040000,4317 LA MESA AVE,2025,0,3026,CS,005-050-040-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050040000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050040000/2025/0000,2026-07-01T06:48:41.215506,PAID,"$1,434.48","$1,434.48",$0.00,PAID,"$1,434.48","$1,434.48",$0.00,"$2,868.96","$2,868.96",$0.00,False,,COLD,0.92
005-050-041-000,5050041000,4325 LA MESA AVE,2025,0,3026,CS,005-050-041-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050041000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050041000/2025/0000,2026-07-01T06:48:41.889820,PAID,$631.62,$631.62,$0.00,PAID,$631.62,$631.62,$0.00,"$1,263.24","$1,263.24",$0.00,False,,COLD,0.92
005-050-042-000,5050042000,4333 LA MESA AVE,2025,0,3026,CS,005-050-042-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050042000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050042000/2025/0000,2026-07-01T06:48:42.593336,PAID,$96.39,$96.39,$0.00,PAID,$96.39,$96.39,$0.00,$192.78,$192.78,$0.00,False,,COLD,0.92
005-050-043-000,5050043000,4337 LA MESA AVE,2025,0,3026,CS,005-050-043-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050043000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050043000/2025/0000,2026-07-01T06:48:43.257071,PAID,$305.71,$305.71,$0.00,PAID,$305.71,$305.71,$0.00,$611.42,$611.42,$0.00,False,,COLD,0.92
005-050-044-000,5050044000,1840 HARDENBROOK AVE,2025,0,3026,CS,005-050-044-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050044000/2025/0000,shasta,2026-07-01T05:02:41.090459,https://common2.mptsweb.com/MBC/shasta/tax/main/005050044000/2025/0000,2026-07-01T06:48:43.945953,PAID,$180.66,$180.66,$0.00,PAID,$180.66,$180.66,$0.00,$361.32,$361.32,$0.00,False,,COLD,0.92
