asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at,verified_url,verified_at,v_inst1_status,v_inst1_total_due,v_inst1_paid,v_inst1_balance,v_inst2_status,v_inst2_total_due,v_inst2_paid,v_inst2_balance,v_total_due,v_total_paid,v_total_balance,v_delinquent,v_fetch_error,verified_score,confidence
019-400-054-000,19400054000,16856 DOG CREEK RD,2025,0,82103,CS,019-400-054-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400054000/2025/0000,shasta,2026-07-01T05:05:00.964555,https://common2.mptsweb.com/MBC/shasta/tax/main/019400054000/2025/0000,2026-07-01T07:11:52.529136,PAID,$590.59,$590.59,$0.00,PAID,$590.59,$590.59,$0.00,"$1,181.18","$1,181.18",$0.00,False,,COLD,0.92
019-400-055-000,19400055000,,2025,0,82103,CS,019-400-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400055000/2025/0000,shasta,2026-07-01T05:05:00.964555,https://common2.mptsweb.com/MBC/shasta/tax/main/019400055000/2025/0000,2026-07-01T07:11:53.246334,PAID,$203.11,$203.11,$0.00,PAID,$203.11,$203.11,$0.00,$406.22,$406.22,$0.00,False,,COLD,0.92
019-400-060-000,19400060000,- FENDERS FERRY RD,2025,0,82103,CS,019-400-060-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400060000/2025/0000,shasta,2026-07-01T05:05:00.964555,https://common2.mptsweb.com/MBC/shasta/tax/main/019400060000/2025/0000,2026-07-01T07:11:53.921809,PAID,$170.02,$170.02,$0.00,PAID,$170.02,$170.02,$0.00,$340.04,$340.04,$0.00,False,,COLD,0.92
019-400-061-000,19400061000,- FENDERS FERRY RD,2025,0,82103,CS,019-400-061-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400061000/2025/0000,shasta,2026-07-01T05:05:00.964555,https://common2.mptsweb.com/MBC/shasta/tax/main/019400061000/2025/0000,2026-07-01T07:11:54.613991,PAID,$226.05,$226.05,$0.00,PAID,$226.05,$226.05,$0.00,$452.10,$452.10,$0.00,False,,COLD,0.92
019-400-062-000,19400062000,16600 DOG CREEK RD,2025,0,82103,CS,019-400-062-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400062000/2025/0000,shasta,2026-07-01T05:05:00.964555,https://common2.mptsweb.com/MBC/shasta/tax/main/019400062000/2025/0000,2026-07-01T07:11:55.336881,PAID,"$3,107.00","$3,107.00",$0.00,PAID,"$3,107.00","$3,107.00",$0.00,"$6,214.00","$6,214.00",$0.00,False,,COLD,0.92
990-183-005-000,990183005000,16600 DOG CREEK RD,2025,0,82103,SS,019-400-062-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990183005000/2025/0000,shasta,2026-07-01T05:05:00.964555,https://common2.mptsweb.com/MBC/shasta/tax/main/990183005000/2025/0000,2026-07-01T07:11:55.985201,PAID,$219.85,$219.85,$0.00,PAID,$199.87,$199.87,$0.00,$419.72,$419.72,$0.00,False,,COLD,0.92
019-400-063-000,19400063000,22288 SAYLOR RD,2025,0,82103,CS,019-400-063-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019400063000/2025/0000,shasta,2026-07-01T05:05:00.964555,https://common2.mptsweb.com/MBC/shasta/tax/main/019400063000/2025/0000,2026-07-01T07:11:56.631494,PAID,$468.91,$468.91,$0.00,PAID,$426.29,$426.29,$0.00,$895.20,$895.20,$0.00,False,,COLD,0.92
019-450-001-000,19450001000,16712 DOG CREEK RD,2025,0,82103,CS,019-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450001000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450001000/2025/0000,2026-07-01T07:11:57.330175,PAID,"$1,458.28","$1,458.28",$0.00,PAID,"$1,458.28","$1,458.28",$0.00,"$2,916.56","$2,916.56",$0.00,False,,COLD,0.92
830-010-455-000,830010455000,16712 DOG CREEK RD,2025,0,82103,CU,019-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830010455000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/830010455000/2025/0000,2026-07-01T07:11:58.023776,PAID,$146.40,$146.40,$0.00,Delinquent,$0.00,$0.00,$0.00,$146.40,$146.40,$0.00,True,,HOT,0.85
830-021-765-000,830021765000,16712 DOG CREEK RD,2025,0,82103,CU,019-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830021765000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/830021765000/2025/0000,2026-07-01T07:11:58.672480,PAID,$53.65,$53.65,$0.00,Delinquent,$0.00,$0.00,$0.00,$53.65,$53.65,$0.00,True,,HOT,0.85
019-450-004-000,19450004000,16772 DOG CREEK RD,2025,0,82103,CS,019-450-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450004000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450004000/2025/0000,2026-07-01T07:11:59.353367,PAID,$273.33,$273.33,$0.00,PAID,$273.33,$273.33,$0.00,$546.66,$546.66,$0.00,False,,COLD,0.92
910-803-919-000,910803919000,16772 DOG CREEK RD,2025,0,82103,CS,019-450-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/910803919000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/910803919000/2025/0000,2026-07-01T07:12:00.019280,PAID,$17.13,$17.13,$0.00,PAID,$17.13,$17.13,$0.00,$34.26,$34.26,$0.00,False,,COLD,0.92
019-450-005-000,19450005000,16788 DOG CREEK RD,2025,0,82103,CS,019-450-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450005000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450005000/2025/0000,2026-07-01T07:12:00.688331,PAID,$654.23,$654.23,$0.00,PAID,$654.23,$654.23,$0.00,"$1,308.46","$1,308.46",$0.00,False,,COLD,0.92
019-450-008-000,19450008000,,2025,0,82103,CS,019-450-008-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450008000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450008000/2025/0000,2026-07-01T07:12:01.331618,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
019-450-011-000,19450011000,16658 DOG CREEK RD,2025,0,82103,CS,019-450-011-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450011000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450011000/2025/0000,2026-07-01T07:12:01.986095,PAID,$891.82,$891.82,$0.00,PAID,$891.82,$891.82,$0.00,"$1,783.64","$1,783.64",$0.00,False,,COLD,0.92
019-450-013-000,19450013000,22208 SAYLOR RD,2025,0,82103,CS,019-450-013-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450013000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450013000/2025/0000,2026-07-01T07:12:02.626850,PAID,$392.39,$392.39,$0.00,PAID,$392.39,$392.39,$0.00,$784.78,$784.78,$0.00,False,,COLD,0.92
019-450-015-000,19450015000,16779 DOG CREEK RD,2025,0,82103,CS,019-450-015-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450015000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450015000/2025/0000,2026-07-01T07:12:03.589048,PAID,$241.51,$241.51,$0.00,PAID,$241.51,$241.51,$0.00,$483.02,$483.02,$0.00,False,,COLD,0.92
019-450-019-000,19450019000,16758 DOG CREEK RD,2025,0,82103,CS,019-450-019-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450019000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450019000/2025/0000,2026-07-01T07:12:04.135720,PAID,$786.79,$786.79,$0.00,PAID,$786.79,$786.79,$0.00,"$1,573.58","$1,573.58",$0.00,False,,COLD,0.92
019-450-025-000,19450025000,22217 SAYLOR RD,2025,0,82103,CS,019-450-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450025000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450025000/2025/0000,2026-07-01T07:12:04.895190,PAID,$189.39,$189.39,$0.00,PAID,$189.39,$189.39,$0.00,$378.78,$378.78,$0.00,False,,COLD,0.92
019-450-026-000,19450026000,16749 DOG CREEK RD,2025,0,82103,CS,019-450-026-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450026000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450026000/2025/0000,2026-07-01T07:12:05.576289,PAID,"$1,005.03","$1,005.03",$0.00,PAID,"$1,005.03","$1,005.03",$0.00,"$2,010.06","$2,010.06",$0.00,False,,COLD,0.92
019-450-028-000,19450028000,16705 DOG CREEK RD,2025,0,82103,CS,019-450-028-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450028000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450028000/2025/0000,2026-07-01T07:12:06.253776,PAID,$169.09,$169.09,$0.00,PAID,$169.09,$169.09,$0.00,$338.18,$338.18,$0.00,False,,COLD,0.92
019-450-030-000,19450030000,,2025,0,82103,CS,019-450-030-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450030000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450030000/2025/0000,2026-07-01T07:12:06.920709,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
019-450-031-000,19450031000,16713 DOG CREEK RD,2025,0,82103,CS,019-450-031-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450031000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450031000/2025/0000,2026-07-01T07:12:07.558378,PAID,"$1,070.52","$1,070.52",$0.00,PAID,"$1,070.52","$1,070.52",$0.00,"$2,141.04","$2,141.04",$0.00,False,,COLD,0.92
019-450-032-000,19450032000,16734 DOG CREEK RD,2025,0,82103,CS,019-450-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450032000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450032000/2025/0000,2026-07-01T07:12:08.311464,PAID,$764.22,$764.22,$0.00,PAID,$764.22,$764.22,$0.00,"$1,528.44","$1,528.44",$0.00,False,,COLD,0.92
830-014-859-000,830014859000,16734 DOG CREEK RD,2025,0,82103,CU,019-450-032-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830014859000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/830014859000/2025/0000,2026-07-01T07:12:09.004219,PAID,$204.22,$204.22,$0.00,Delinquent,$0.00,$0.00,$0.00,$204.22,$204.22,$0.00,True,,HOT,0.85
019-450-033-000,19450033000,16726 DOG CREEK RD,2025,0,82103,CS,019-450-033-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450033000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450033000/2025/0000,2026-07-01T07:12:09.692649,PAID,$262.66,$262.66,$0.00,PAID,$262.66,$262.66,$0.00,$525.32,$525.32,$0.00,False,,COLD,0.92
019-450-035-000,19450035000,22233 SAYLOR RD,2025,0,82103,CS,019-450-035-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450035000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450035000/2025/0000,2026-07-01T07:12:10.309438,PAID,$485.09,$485.09,$0.00,PAID,$485.09,$485.09,$0.00,$970.18,$970.18,$0.00,False,,COLD,0.92
019-450-037-000,19450037000,,2025,0,82103,CS,019-450-037-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450037000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450037000/2025/0000,2026-07-01T07:12:10.991624,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
019-450-039-000,19450039000,22217 SAYLOR RD,2025,0,82103,CS,019-450-039-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450039000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450039000/2025/0000,2026-07-01T07:12:11.630859,PAID,"$2,511.46","$2,511.46",$0.00,PAID,"$2,511.46","$2,511.46",$0.00,"$5,022.92","$5,022.92",$0.00,False,,COLD,0.92
019-450-040-000,19450040000,16688 DOG CREEK RD,2025,0,82103,CS,019-450-040-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019450040000/2025/0000,shasta,2026-07-01T05:05:01.844524,https://common2.mptsweb.com/MBC/shasta/tax/main/019450040000/2025/0000,2026-07-01T07:12:12.299077,PAID,$612.97,$612.97,$0.00,PAID,$612.97,$612.97,$0.00,"$1,225.94","$1,225.94",$0.00,False,,COLD,0.92
019-500-001-000,19500001000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500001000/2025/0000,shasta,2026-07-01T05:05:02.668353,https://common2.mptsweb.com/MBC/shasta/tax/main/019500001000/2025/0000,2026-07-01T07:12:13.027548,LATE,$190.40,$0.00,$190.40,LATE,$211.40,$0.00,$211.40,$401.80,$0.00,$401.80,True,,HOT,0.85
019-500-002-000,19500002000,,2025,0,82103,CS,019-500-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500002000/2025/0000,shasta,2026-07-01T05:05:02.668353,https://common2.mptsweb.com/MBC/shasta/tax/main/019500002000/2025/0000,2026-07-01T07:12:13.740906,PAID,$269.63,$269.63,$0.00,PAID,$269.63,$269.63,$0.00,$539.26,$539.26,$0.00,False,,COLD,0.92
019-500-003-000,19500003000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500003000/2025/0000,shasta,2026-07-01T05:05:02.668353,https://common2.mptsweb.com/MBC/shasta/tax/main/019500003000/2025/0000,2026-07-01T07:12:14.412560,PAID,$233.78,$233.78,$0.00,PAID,$233.78,$233.78,$0.00,$467.56,$467.56,$0.00,False,,COLD,0.92
019-500-004-000,19500004000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500004000/2025/0000,shasta,2026-07-01T05:05:02.668353,https://common2.mptsweb.com/MBC/shasta/tax/main/019500004000/2025/0000,2026-07-01T07:12:15.054869,PAID,$352.72,$352.72,$0.00,PAID,$352.72,$352.72,$0.00,$705.44,$705.44,$0.00,False,,COLD,0.92
990-181-435-000,990181435000,- DELTA SCHOOL RD,2025,0,82103,SS,019-500-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990181435000/2025/0000,shasta,2026-07-01T05:05:02.668353,https://common2.mptsweb.com/MBC/shasta/tax/main/990181435000/2025/0000,2026-07-01T07:12:15.837510,,,,,,,,,,,,False,,COLD,0.92
991-181-435-000,991181435000,- DELTA SCHOOL RD,2025,0,82103,SS,019-500-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/991181435000/2025/0000,shasta,2026-07-01T05:05:02.668353,https://common2.mptsweb.com/MBC/shasta/tax/main/991181435000/2025/0000,2026-07-01T07:12:16.563314,PAID,$52.52,$52.52,$0.00,PAID,$52.52,$52.52,$0.00,$105.04,$105.04,$0.00,False,,COLD,0.92
019-500-005-000,19500005000,- DELTA SCHOOL RD,2025,0,82103,CS,019-500-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/019500005000/2025/0000,shasta,2026-07-01T05:05:02.668353,https://common2.mptsweb.com/MBC/shasta/tax/main/019500005000/2025/0000,2026-07-01T07:12:17.421436,LATE,$124.28,$0.00,$124.28,LATE,$145.28,$0.00,$145.28,$269.56,$0.00,$269.56,True,,HOT,0.85
020-050-001-000,20050001000,,2025,0,82025,CS,020-050-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020050001000/2025/0000,shasta,2026-07-01T05:05:12.038914,https://common2.mptsweb.com/MBC/shasta/tax/main/020050001000/2025/0000,2026-07-01T07:12:18.151320,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-050-002-000,20050002000,,2025,0,82025,CS,020-050-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020050002000/2025/0000,shasta,2026-07-01T05:05:12.038914,https://common2.mptsweb.com/MBC/shasta/tax/main/020050002000/2025/0000,2026-07-01T07:12:18.908308,PAID,$190.06,$190.06,$0.00,PAID,$190.06,$190.06,$0.00,$380.12,$380.12,$0.00,False,,COLD,0.92
020-100-001-000,20100001000,,2025,0,82025,CS,020-100-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100001000/2025/0000,shasta,2026-07-01T05:05:12.922168,https://common2.mptsweb.com/MBC/shasta/tax/main/020100001000/2025/0000,2026-07-01T07:12:19.582751,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-100-003-000,20100003000,,2025,0,82025,CS,020-100-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100003000/2025/0000,shasta,2026-07-01T05:05:12.922168,https://common2.mptsweb.com/MBC/shasta/tax/main/020100003000/2025/0000,2026-07-01T07:12:20.268729,PAID,$114.29,$114.29,$0.00,PAID,$114.29,$114.29,$0.00,$228.58,$228.58,$0.00,False,,COLD,0.92
020-100-005-000,20100005000,,2025,0,82025,CS,020-100-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100005000/2025/0000,shasta,2026-07-01T05:05:12.922168,https://common2.mptsweb.com/MBC/shasta/tax/main/020100005000/2025/0000,2026-07-01T07:12:21.801980,PAID,$234.16,$234.16,$0.00,PAID,$234.16,$234.16,$0.00,$468.32,$468.32,$0.00,False,,COLD,0.92
020-100-006-000,20100006000,,2025,0,82025,CS,020-100-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020100006000/2025/0000,shasta,2026-07-01T05:05:12.922168,https://common2.mptsweb.com/MBC/shasta/tax/main/020100006000/2025/0000,2026-07-01T07:12:22.439411,PAID,$323.59,$323.59,$0.00,PAID,$323.59,$323.59,$0.00,$647.18,$647.18,$0.00,False,,COLD,0.92
020-150-001-000,20150001000,,2025,0,82025,CS,020-150-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150001000/2025/0000,shasta,2026-07-01T05:05:13.773383,https://common2.mptsweb.com/MBC/shasta/tax/main/020150001000/2025/0000,2026-07-01T07:12:23.076892,PAID,$163.31,$163.31,$0.00,PAID,$163.31,$163.31,$0.00,$326.62,$326.62,$0.00,False,,COLD,0.92
020-150-003-000,20150003000,,2025,0,82027,CS,020-150-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150003000/2025/0000,shasta,2026-07-01T05:05:13.773383,https://common2.mptsweb.com/MBC/shasta/tax/main/020150003000/2025/0000,2026-07-01T07:12:23.712153,LATE,$232.78,$0.00,$232.78,LATE,$253.78,$0.00,$253.78,$486.56,$0.00,$486.56,True,,HOT,0.85
020-150-004-000,20150004000,,2025,0,82025,CS,020-150-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150004000/2025/0000,shasta,2026-07-01T05:05:13.773383,https://common2.mptsweb.com/MBC/shasta/tax/main/020150004000/2025/0000,2026-07-01T07:12:24.337012,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-150-005-000,20150005000,- FENDERS FERRY RD,2025,0,82025,CS,020-150-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150005000/2025/0000,shasta,2026-07-01T05:05:13.773383,https://common2.mptsweb.com/MBC/shasta/tax/main/020150005000/2025/0000,2026-07-01T07:12:25.001550,PAID,$363.76,$363.76,$0.00,PAID,$363.76,$363.76,$0.00,$727.52,$727.52,$0.00,False,,COLD,0.92
020-150-006-000,20150006000,,2025,0,82025,CS,020-150-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020150006000/2025/0000,shasta,2026-07-01T05:05:13.773383,https://common2.mptsweb.com/MBC/shasta/tax/main/020150006000/2025/0000,2026-07-01T07:12:25.693129,PAID,$205.33,$205.33,$0.00,PAID,$205.33,$205.33,$0.00,$410.66,$410.66,$0.00,False,,COLD,0.92
020-200-001-000,20200001000,,2025,0,82025,CS,020-200-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200001000/2025/0000,shasta,2026-07-01T05:05:14.615746,https://common2.mptsweb.com/MBC/shasta/tax/main/020200001000/2025/0000,2026-07-01T07:12:26.480520,PAID,$172.97,$172.97,$0.00,PAID,$172.97,$172.97,$0.00,$345.94,$345.94,$0.00,False,,COLD,0.92
020-200-002-000,20200002000,,2025,0,82025,CS,020-200-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200002000/2025/0000,shasta,2026-07-01T05:05:14.615746,https://common2.mptsweb.com/MBC/shasta/tax/main/020200002000/2025/0000,2026-07-01T07:12:27.124191,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-200-003-000,20200003000,22475 GILMAN RD,2025,0,82025,CS,020-200-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200003000/2025/0000,shasta,2026-07-01T05:05:14.615746,https://common2.mptsweb.com/MBC/shasta/tax/main/020200003000/2025/0000,2026-07-01T07:12:27.762921,PAID,"$21,286.87","$21,286.87",$0.00,PAID,"$21,286.87","$21,286.87",$0.00,"$42,573.74","$42,573.74",$0.00,False,,COLD,0.92
020-200-004-000,20200004000,,2025,0,82025,CS,020-200-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020200004000/2025/0000,shasta,2026-07-01T05:05:14.615746,https://common2.mptsweb.com/MBC/shasta/tax/main/020200004000/2025/0000,2026-07-01T07:12:28.571209,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-250-001-000,20250001000,,2025,0,82025,CS,020-250-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020250001000/2025/0000,shasta,2026-07-01T05:05:15.490229,https://common2.mptsweb.com/MBC/shasta/tax/main/020250001000/2025/0000,2026-07-01T07:12:29.221806,PAID,$177.44,$177.44,$0.00,PAID,$177.44,$177.44,$0.00,$354.88,$354.88,$0.00,False,,COLD,0.92
020-250-002-000,20250002000,,2025,0,82025,CS,020-250-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020250002000/2025/0000,shasta,2026-07-01T05:05:15.490229,https://common2.mptsweb.com/MBC/shasta/tax/main/020250002000/2025/0000,2026-07-01T07:12:30.034464,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-300-001-000,20300001000,,2025,0,82025,CS,020-300-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020300001000/2025/0000,shasta,2026-07-01T05:05:16.324387,https://common2.mptsweb.com/MBC/shasta/tax/main/020300001000/2025/0000,2026-07-01T07:12:30.768897,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-300-002-000,20300002000,,2025,0,82025,CS,020-300-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020300002000/2025/0000,shasta,2026-07-01T05:05:16.324387,https://common2.mptsweb.com/MBC/shasta/tax/main/020300002000/2025/0000,2026-07-01T07:12:32.797230,PAID,$225.81,$225.81,$0.00,PAID,$225.81,$225.81,$0.00,$451.62,$451.62,$0.00,False,,COLD,0.92
020-350-001-000,20350001000,,2025,0,82025,CS,020-350-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020350001000/2025/0000,shasta,2026-07-01T05:05:17.159357,https://common2.mptsweb.com/MBC/shasta/tax/main/020350001000/2025/0000,2026-07-01T07:12:33.509415,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-350-002-000,20350002000,,2025,0,82025,CS,020-350-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020350002000/2025/0000,shasta,2026-07-01T05:05:17.159357,https://common2.mptsweb.com/MBC/shasta/tax/main/020350002000/2025/0000,2026-07-01T07:12:34.197871,PAID,"$4,803.03","$4,803.03",$0.00,PAID,"$4,803.03","$4,803.03",$0.00,"$9,606.06","$9,606.06",$0.00,False,,COLD,0.92
020-400-001-000,20400001000,,2025,0,61002,CS,020-400-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020400001000/2025/0000,shasta,2026-07-01T05:05:17.981658,https://common2.mptsweb.com/MBC/shasta/tax/main/020400001000/2025/0000,2026-07-01T07:12:34.795559,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-400-002-000,20400002000,,2025,0,61000,CS,020-400-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020400002000/2025/0000,shasta,2026-07-01T05:05:17.981658,https://common2.mptsweb.com/MBC/shasta/tax/main/020400002000/2025/0000,2026-07-01T07:12:35.358407,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-450-001-000,20450001000,,2025,0,61000,CS,020-450-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020450001000/2025/0000,shasta,2026-07-01T05:05:18.807757,https://common2.mptsweb.com/MBC/shasta/tax/main/020450001000/2025/0000,2026-07-01T07:12:38.330759,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-450-002-000,20450002000,,2025,0,61002,CS,020-450-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020450002000/2025/0000,shasta,2026-07-01T05:05:18.807757,https://common2.mptsweb.com/MBC/shasta/tax/main/020450002000/2025/0000,2026-07-01T07:12:40.158122,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
020-500-001-000,20500001000,,2025,0,82025,CS,020-500-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/020500001000/2025/0000,shasta,2026-07-01T05:05:19.680360,https://common2.mptsweb.com/MBC/shasta/tax/main/020500001000/2025/0000,2026-07-01T07:12:42.335161,Delinquent,$0.00,$0.00,$0.00,Delinquent,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,True,,HOT,0.85
